SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100
FX9708220YHHYFD46+03913141818162077721813743,2.4382,2.6843,2.9838,3.5718,4.6922,5.8973,6.556,7.679,9.0639,12.3021,15.2992,17.4061,19.8451,22.3345,24.0456,25.0204,26.492,2.4974,2.7566,3.0327,3.6207,4.7682,5.9808,6.6669,7.784,9.2103,12.3604,15.4618,17.5232,19.9266,22.6479,24.0539,25.2827,27.4059,2.4458,2.6951,2.9451,3.5836,4.7081,5.9152,6.5723,7.7028,9.108,12.3247,15.1765,17.1414,19.6227,22.0587,23.7041,24.8747,26.8837
FX970831YZ1HYFD4P+03913142837161077726810743,2.3183,2.5871,2.8482,3.4411,4.5147,5.6544,6.2814,7.4944,8.8008,11.9259,14.9862,16.9377,19.4005,21.7787,23.6024,25.2632,26.2008,2.0228,2.2727,2.4952,3.0291,4.0502,5.1012,5.7331,6.8146,8.0784,11.0434,13.9752,15.7894,18.2351,20.4865,22.4019,23.7217,23.9184,2.0395,2.3078,2.5389,3.1057,4.1447,5.2336,5.8656,6.9763,8.2358,11.2684,14.0659,15.8704,18.3842,20.6777,22.4593,23.66,23.3478
FX970831ZFPHYFD4L+03913137824162076701813743,2.2512,2.5064,2.7823,3.3144,4.3465,5.3954,6.0279,7.0893,8.4114,11.2897,14.285,16.1922,18.6159,21.062,22.8592,23.9325,24.6683,2.1173,2.3794,2.6047,3.1602,4.1424,5.1787,5.7852,6.83,8.0483,10.9582,13.8607,15.6397,18.0331,20.4477,22.106,23.034,25.6645,2.2395,2.5037,2.7454,3.3079,4.3678,5.4421,6.0534,7.1321,8.3996,11.4183,14.2615,16.0973,18.4444,20.811,22.7175,23.6846,24.526
FX970833F2THYFD4Z+03916131821162076672815743,2.4766,2.7807,3.0237,3.6932,4.8121,5.9988,6.7216,7.8706,9.2888,12.4383,15.5323,17.6659,20.0707,22.6503,24.3806,26.0272,24.9172,2.2489,2.4722,2.7352,3.332,4.3665,5.5022,6.1768,7.2894,8.634,11.7194,14.7502,16.6587,19.1703,21.7583,23.5098,24.9082,23.7846,2.5486,2.847,3.1079,3.7848,4.9764,6.2041,6.9059,8.0966,9.5496,12.8295,15.792,17.8006,20.2391,23.0332,24.6708,26.2758,25.9082
FX9708421ZBHYFD46+03913139816164077709826743,1.9639,2.21,2.4398,3.0241,4.0199,5.108,5.77,6.8345,8.1487,11.1734,14.0917,15.994,18.5127,20.7369,22.6719,24.0672,23.6506,1.8413,2.0819,2.2863,2.817,3.8065,4.8567,5.4689,6.4981,7.7393,10.7116,13.5104,15.4803,17.8768,20.1553,21.9061,23.5427,23.3895,1.9639,2.2039,2.4346,3.016,4.0431,5.1592,5.7884,6.8991,8.19,11.2665,14.1407,16.0763,18.4993,20.8182,22.7053,23.9215,23.9116
FX970842264HYFD4R+03913134823162076689815743,1.8141,2.0234,2.255,2.7914,3.749,4.7963,5.4094,6.4418,7.7142,10.6382,13.5865,15.4082,17.8695,20.2248,22.056,23.3301,22.9744,1.6304,1.8186,2.0747,2.5321,3.4468,4.4361,5.0232,6.0322,7.247,10.0108,12.9261,14.749,17.0871,19.5175,21.1323,22.1353,21.8224,1.6974,1.9049,2.1661,2.659,3.6265,4.6225,5.2382,6.2123,7.5123,10.368,13.1704,14.9844,17.3693,19.7178,21.3246,22.485,22.0779
FX97084226BHYFD4J+03913147807162078749810743,1.7999,2.0258,2.2448,2.7756,3.7049,4.6738,5.3362,6.3575,7.5448,10.4105,13.2742,15.18,17.4721,19.7517,21.5755,22.5712,23.7273,1.7313,1.9827,2.1687,2.6924,3.6098,4.6172,5.2463,6.237,7.4274,10.2653,13.1512,14.972,17.3313,19.7781,21.3848,22.6331,23.307,1.7631,1.9881,2.1837,2.7077,3.6551,4.6837,5.3141,6.3293,7.5683,10.3798,13.1629,15.0194,17.2907,19.7319,21.2828,22.5402,24.4279
FX970842A78HYFD4A+03914126812162076650816743,2.0004,2.2482,2.4897,3.0413,4.0708,5.148,5.7688,6.8649,8.1656,11.1538,14.1114,16.0016,18.4689,21.0192,22.7294,23.9191,23.4862,1.8514,2.1315,2.3483,2.8672,3.8444,4.8995,5.5319,6.5384,7.8355,10.7751,13.687,15.5266,17.9521,20.4437,22.0374,23.0496,24.126,1.947,2.1515,2.3971,2.9606,3.929,5.0672,5.6592,6.6817,8.0221,10.9633,13.8526,15.6996,18.0772,20.4124,22.2083,23.5424,22.7185
