,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,
2017-04-17-15-19-56,292.1746,607.1956,748.8785,817.8270,779.0989,694.0068,551.9934,469.2601,382.4193,370.3492,493.9132,101.8649,145.7340,34.5243,20.1252,
2017-04-18-10-31-08,291.2887,602.9254,745.1898,819.9099,770.4046,686.8734,556.0028,460.2246,382.4193,373.3494,500.1347,102.1598,144.6420,34.2926,20.0744,
2017-04-19-18-24-57,290.3129,601.5482,750.6980,823.8984,777.7738,693.0077,557.7321,463.1439,381.7238,372.3141,498.0258,101.9727,143.8482,34.2361,20.0350,
2017-04-19-18-27-42,291.3167,601.2650,753.5993,824.4189,780.0025,696.6655,558.9499,465.3833,381.8630,372.5535,498.4598,102.0748,144.6026,34.3604,20.0744,
2017-04-19-18-29-38,291.5634,601.9091,753.7935,823.5660,781.8488,697.9366,556.9648,466.6645,381.8351,373.0990,497.5918,102.1031,144.4337,34.3152,20.0350,
2017-04-19-18-33-28,292.4493,601.6426,752.9780,819.6661,784.0164,698.3807,554.6627,468.0793,381.4179,371.4292,495.9612,101.9897,145.0642,34.4056,20.0575,
2017-04-19-19-27-01,291.4176,602.7255,754.2484,825.8203,776.7369,690.9205,558.8552,466.1130,387.2695,375.9095,499.6562,102.9653,146.7360,34.5582,20.0914,
2017-04-20-14-16-36,288.4961,599.2878,741.2806,816.2093,767.6429,684.8636,555.6581,458.9377,381.0396,371.9468,497.9813,101.8762,143.3303,33.9423,19.9335,
2017-04-20-15-00-03,289.2700,603.5140,748.5955,821.8874,774.1252,690.4208,554.5792,468.9259,386.0348,372.3141,496.4120,102.4208,146.1337,34.4452,20.0237,
2017-04-21-14-56-09,291.0139,608.0451,755.6462,825.4714,788.2628,702.0604,564.6652,468.3746,389.4216,380.9729,507.5621,104.1055,147.8054,34.9763,20.1985,
2017-04-21-15-00-04,290.2176,606.7514,755.0582,824.9174,787.4091,701.1558,564.0648,468.4414,390.1222,380.3887,506.1546,104.1963,147.7097,34.9481,20.2774,
2017-04-22-09-19-08,290.6550,594.9222,740.8481,813.1290,768.5635,688.2891,549.2906,464.9266,382.3692,372.3865,493.9856,101.0878,146.0324,34.3322,20.1083,
2017-04-22-10-31-55,288.1259,597.2717,739.5672,816.8353,771.8851,682.5150,551.5651,464.2971,381.7350,372.7372,496.6068,100.9404,145.0810,34.3435,19.9955,
2017-04-22-17-48-54,289.8980,597.5883,744.0419,820.6910,778.0732,686.7068,558.1603,464.7204,380.5333,371.3289,498.7547,102.7271,144.6926,34.4169,20.1139,
2017-04-22-18-00-16,288.5185,593.4559,737.1161,814.4753,773.2714,680.8105,553.1667,460.5645,377.3674,368.0612,494.4642,102.3414,143.5273,34.1740,20.0519,
2017-04-23-08-19-52,286.8473,597.0218,741.7352,812.9573,772.2510,680.0830,552.6107,460.2469,377.9294,370.2379,497.6307,100.7589,143.9664,34.2418,20.0293,
2017-05-03-16-19-30,280.3131,580.9889,727.3606,794.3765,754.0430,679.9276,541.0806,450.5625,370.7389,362.0251,489.6277,101.4395,141.9847,34.3096,20.2662,
2017-05-06-22-37-54,275.8076,585.5115,732.4460,811.4418,770.2495,679.6643,551.4860,458.8394,375.1244,364.9754,492.1117,95.3751,137.1986,26.7621,12.1603,
2017-05-06-23-00-01,272.1702,578.9111,725.3889,801.2333,760.9479,672.4315,545.6052,454.2518,371.6966,361.7971,488.0157,94.4987,135.9120,26.6122,12.1659,
2017-05-07-00-34-55,275.0374,585.6000,733.7636,807.2094,766.4235,678.3447,550.0692,459.1626,375.7901,366.0347,492.4962,95.0437,136.7221,26.8074,12.1800,
2017-05-07-00-36-26,275.2042,585.4065,733.9176,807.1512,766.3071,678.1683,549.7122,459.2040,375.5154,365.8766,492.1643,94.9622,136.2680,26.6235,12.1433,
2017-05-07-00-47-30,275.2014,586.6645,735.2794,808.9252,767.4576,679.8242,551.2370,460.4052,375.8843,366.5588,493.7296,95.2094,136.7837,26.7904,12.1800,
2017-05-07-01-00-19,274.5591,585.9401,733.3565,806.6634,765.6500,678.0471,549.1116,460.0822,375.7707,365.7380,492.5929,94.6926,136.8146,26.8017,12.1574,
2017-05-07-02-00-30,274.5563,586.4406,733.7773,805.7043,764.3443,678.8737,549.2057,459.5492,376.1756,366.2566,492.2970,94.7459,136.5090,26.7734,12.1292,
2017-05-07-03-12-18,274.9957,589.5150,738.0988,806.4305,765.0345,682.5186,549.5793,462.7026,377.7704,367.9868,494.6946,95.0942,137.2378,26.9941,12.2392,
2017-05-07-04-38-43,274.8149,589.2772,737.6476,805.3911,764.2611,681.2595,548.2537,461.7611,377.5014,367.5432,494.5121,95.0072,137.2266,26.9205,12.1997,
2017-05-07-05-00-07,274.7482,589.0422,738.3821,806.4609,764.8156,682.0144,548.9235,462.1310,378.6330,368.5193,494.7803,94.8892,137.2575,26.9516,12.2082,
2017-05-07-06-04-12,274.4923,588.8680,737.7054,805.5518,764.0781,682.0722,549.0674,461.8025,377.7038,368.3335,494.2992,95.0437,137.0977,26.9375,12.1997,
2017-05-07-14-27-31,275.1597,590.5518,740.0131,807.1179,765.9023,684.4772,549.3801,463.6553,379.8394,370.3325,496.0579,94.9089,137.1790,26.9488,12.1772,
2017-05-07-15-00-28,273.7832,586.3659,734.4899,802.7773,762.4479,679.5487,547.8248,460.1374,376.6056,366.9082,493.5194,94.7656,136.7249,26.8158,12.2138,
2017-05-07-16-01-27,272.5901,583.6894,731.4996,799.6395,758.7771,675.8456,545.1430,458.3865,374.9384,365.4496,492.0923,94.3274,136.1082,26.7536,12.1405,
2017-05-07-17-00-08,270.7851,580.4514,727.5158,794.9911,754.2938,673.2472,542.8209,456.4422,373.4129,363.8078,489.2520,94.1027,135.5616,26.4622,12.0729,
2017-05-07-17-04-07,271.6251,582.6691,729.9974,797.2003,756.8391,675.0906,543.6512,457.7651,374.4780,364.9171,490.9363,94.3302,135.8783,26.7253,12.1349,
2017-05-07-18-01-16,272.1118,584.0544,731.4885,797.9597,757.6708,676.8817,544.5258,459.2399,375.1881,365.7574,491.6499,94.4257,136.1250,26.7621,12.1997,
2017-05-07-19-08-08,273.1231,586.7225,735.1939,801.8428,761.9229,680.6983,546.4457,461.1279,377.3521,367.5997,493.4428,94.2899,136.5524,26.4820,11.7339,
2017-05-07-20-00-08,271.6252,583.9978,731.8664,798.0755,757.6110,677.7388,544.0170,458.8874,375.7664,366.3679,491.3593,93.8989,136.0105,26.3774,11.7526,
2017-05-07-21-00-04,272.4677,585.1887,733.7074,799.9604,759.5568,679.1365,544.7899,459.7259,376.8507,367.3870,493.0739,94.1809,136.3133,26.3453,11.7126,
2017-05-07-22-00-16,271.5673,584.1078,733.0350,798.3039,757.8052,678.3412,543.9829,459.4613,376.0683,366.5097,492.0138,93.8511,136.2762,26.4364,11.7206,
2017-05-07-23-00-01,270.4299,581.7206,730.1985,795.4683,755.3658,676.4326,542.4161,457.8705,374.8448,365.1833,491.2390,93.5718,135.7661,26.3614,11.7179,
2017-05-08-00-30-24,269.5137,579.8228,727.4250,792.6329,753.0102,673.8354,540.2962,456.6991,374.3197,364.3506,489.9353,93.4920,135.4340,26.3292,11.7206,
2017-05-08-01-00-05,270.0166,580.2993,727.9397,793.7933,753.9792,675.1235,541.2893,456.7069,374.6296,364.5029,490.5636,93.4175,135.4739,26.3426,11.6885,
2017-05-08-02-00-12,270.4773,581.5950,729.3922,795.0720,754.3679,675.7833,542.2615,457.5718,374.5665,364.9180,491.4640,93.5532,135.5695,26.3211,11.7019,
2017-05-08-03-05-01,270.5168,581.3437,729.5182,795.0798,754.6830,675.8041,541.9915,457.7893,374.6611,364.8313,491.1657,93.7074,135.8272,26.3024,11.6885,
2017-05-08-04-28-29,270.2719,580.6762,728.3311,795.7047,756.4556,675.3947,542.9086,457.9413,374.5272,364.5555,491.0531,93.7606,135.7183,26.2622,11.6832,
2017-05-08-05-00-00,270.4694,581.3724,729.7704,795.8885,755.1793,676.3830,542.3742,457.5089,374.5639,365.4879,490.7154,93.6729,135.8431,26.3614,11.6912,
2017-05-08-06-09-48,269.7980,579.8334,727.2621,793.8906,754.0869,673.5563,541.9995,456.9297,373.8340,364.6501,490.4981,93.6064,135.2853,26.1523,11.7099,
2017-05-08-09-05-18,274.9604,590.2058,740.7012,806.3923,765.8145,688.2845,548.0491,464.3980,380.6493,370.9219,496.2852,94.3751,137.4529,26.6348,11.7660,
2017-05-08-10-57-12,273.8865,585.4583,735.6640,803.6830,762.7815,685.7429,544.4362,461.4503,379.8198,369.3515,493.2466,93.9043,137.3865,26.6669,11.7713,
2017-05-08-11-00-00,273.5074,585.9661,734.8104,803.0714,762.7526,685.5031,544.3786,461.2013,379.3473,369.5826,493.5843,94.1490,137.2723,26.6214,11.7793,
2017-05-08-12-00-29,270.4510,581.6787,729.3895,795.2531,755.4786,677.7494,542.0519,458.3894,375.9135,366.3390,491.8776,93.7660,136.2682,26.4203,11.6912,
2017-05-08-13-31-34,270.7590,581.8358,730.0961,795.5393,756.0012,678.0414,542.1068,459.2019,375.8793,366.7172,492.1053,93.7261,136.2124,26.3721,11.6992,
2017-05-08-14-00-02,270.1245,581.0898,729.7152,794.5942,754.9482,677.1001,541.8920,458.3763,375.6614,365.8399,491.5714,93.4734,135.8431,26.4096,11.7046,
2017-05-08-15-00-08,270.4326,581.1526,729.5341,795.0011,755.1451,677.3895,541.6850,458.2243,375.9423,366.1893,491.4170,93.5931,135.8963,26.3265,11.7046,
